Date,Year,Month,MonthName,Quarter,DayOfWeek,DayName,WeekOfYear
1996-07-04,1996,7,July,3,3,Thursday,27
1996-07-05,1996,7,July,3,4,Friday,27
1996-07-08,1996,7,July,3,0,Monday,28
1996-07-09,1996,7,July,3,1,Tuesday,28
1996-07-10,1996,7,July,3,2,Wednesday,28
1996-07-11,1996,7,July,3,3,Thursday,28
1996-07-12,1996,7,July,3,4,Friday,28
1996-07-15,1996,7,July,3,0,Monday,29
1996-07-16,1996,7,July,3,1,Tuesday,29
1996-07-17,1996,7,July,3,2,Wednesday,29
1996-07-18,1996,7,July,3,3,Thursday,29
1996-07-19,1996,7,July,3,4,Friday,29
1996-07-22,1996,7,July,3,0,Monday,30
1996-07-23,1996,7,July,3,1,Tuesday,30
1996-07-24,1996,7,July,3,2,Wednesday,30
1996-07-25,1996,7,July,3,3,Thursday,30
1996-07-26,1996,7,July,3,4,Friday,30
1996-07-29,1996,7,July,3,0,Monday,31
1996-07-30,1996,7,July,3,1,Tuesday,31
1996-07-31,1996,7,July,3,2,Wednesday,31
1996-08-01,1996,8,August,3,3,Thursday,31
1996-08-02,1996,8,August,3,4,Friday,31
1996-08-05,1996,8,August,3,0,Monday,32
1996-08-06,1996,8,August,3,1,Tuesday,32
1996-08-07,1996,8,August,3,2,Wednesday,32
1996-08-08,1996,8,August,3,3,Thursday,32
1996-08-09,1996,8,August,3,4,Friday,32
1996-08-12,1996,8,August,3,0,Monday,33
1996-08-13,1996,8,August,3,1,Tuesday,33
1996-08-14,1996,8,August,3,2,Wednesday,33
1996-08-15,1996,8,August,3,3,Thursday,33
1996-08-16,1996,8,August,3,4,Friday,33
1996-08-19,1996,8,August,3,0,Monday,34
1996-08-20,1996,8,August,3,1,Tuesday,34
1996-08-21,1996,8,August,3,2,Wednesday,34
1996-08-22,1996,8,August,3,3,Thursday,34
1996-08-23,1996,8,August,3,4,Friday,34
1996-08-26,1996,8,August,3,0,Monday,35
1996-08-27,1996,8,August,3,1,Tuesday,35
1996-08-28,1996,8,August,3,2,Wednesday,35
1996-08-29,1996,8,August,3,3,Thursday,35
1996-08-30,1996,8,August,3,4,Friday,35
1996-09-02,1996,9,September,3,0,Monday,36
1996-09-03,1996,9,September,3,1,Tuesday,36
1996-09-04,1996,9,September,3,2,Wednesday,36
1996-09-05,1996,9,September,3,3,Thursday,36
1996-09-06,1996,9,September,3,4,Friday,36
1996-09-09,1996,9,September,3,0,Monday,37
1996-09-10,1996,9,September,3,1,Tuesday,37
1996-09-11,1996,9,September,3,2,Wednesday,37
1996-09-12,1996,9,September,3,3,Thursday,37
1996-09-13,1996,9,September,3,4,Friday,37
1996-09-16,1996,9,September,3,0,Monday,38
1996-09-17,1996,9,September,3,1,Tuesday,38
1996-09-18,1996,9,September,3,2,Wednesday,38
1996-09-19,1996,9,September,3,3,Thursday,38
1996-09-20,1996,9,September,3,4,Friday,38
1996-09-23,1996,9,September,3,0,Monday,39
1996-09-24,1996,9,September,3,1,Tuesday,39
1996-09-25,1996,9,September,3,2,Wednesday,39
1996-09-26,1996,9,September,3,3,Thursday,39
1996-09-27,1996,9,September,3,4,Friday,39
1996-09-30,1996,9,September,3,0,Monday,40
1996-10-01,1996,10,October,4,1,Tuesday,40
1996-10-02,1996,10,October,4,2,Wednesday,40
1996-10-03,1996,10,October,4,3,Thursday,40
1996-10-04,1996,10,October,4,4,Friday,40
1996-10-07,1996,10,October,4,0,Monday,41
1996-10-08,1996,10,October,4,1,Tuesday,41
1996-10-09,1996,10,October,4,2,Wednesday,41
1996-10-10,1996,10,October,4,3,Thursday,41
1996-10-11,1996,10,October,4,4,Friday,41
1996-10-14,1996,10,October,4,0,Monday,42
1996-10-15,1996,10,October,4,1,Tuesday,42
1996-10-16,1996,10,October,4,2,Wednesday,42
1996-10-17,1996,10,October,4,3,Thursday,42
1996-10-18,1996,10,October,4,4,Friday,42
1996-10-21,1996,10,October,4,0,Monday,43
1996-10-22,1996,10,October,4,1,Tuesday,43
1996-10-23,1996,10,October,4,2,Wednesday,43
1996-10-24,1996,10,October,4,3,Thursday,43
1996-10-25,1996,10,October,4,4,Friday,43
1996-10-28,1996,10,October,4,0,Monday,44
1996-10-29,1996,10,October,4,1,Tuesday,44
1996-10-30,1996,10,October,4,2,Wednesday,44
1996-10-31,1996,10,October,4,3,Thursday,44
1996-11-01,1996,11,November,4,4,Friday,44
1996-11-04,1996,11,November,4,0,Monday,45
1996-11-05,1996,11,November,4,1,Tuesday,45
1996-11-06,1996,11,November,4,2,Wednesday,45
1996-11-07,1996,11,November,4,3,Thursday,45
1996-11-08,1996,11,November,4,4,Friday,45
1996-11-11,1996,11,November,4,0,Monday,46
1996-11-12,1996,11,November,4,1,Tuesday,46
1996-11-13,1996,11,November,4,2,Wednesday,46
1996-11-14,1996,11,November,4,3,Thursday,46
1996-11-15,1996,11,November,4,4,Friday,46
1996-11-18,1996,11,November,4,0,Monday,47
1996-11-19,1996,11,November,4,1,Tuesday,47
1996-11-20,1996,11,November,4,2,Wednesday,47
1996-11-21,1996,11,November,4,3,Thursday,47
1996-11-22,1996,11,November,4,4,Friday,47
1996-11-25,1996,11,November,4,0,Monday,48
1996-11-26,1996,11,November,4,1,Tuesday,48
1996-11-27,1996,11,November,4,2,Wednesday,48
1996-11-28,1996,11,November,4,3,Thursday,48
1996-11-29,1996,11,November,4,4,Friday,48
1996-12-02,1996,12,December,4,0,Monday,49
1996-12-03,1996,12,December,4,1,Tuesday,49
1996-12-04,1996,12,December,4,2,Wednesday,49
1996-12-05,1996,12,December,4,3,Thursday,49
1996-12-06,1996,12,December,4,4,Friday,49
1996-12-09,1996,12,December,4,0,Monday,50
1996-12-10,1996,12,December,4,1,Tuesday,50
1996-12-11,1996,12,December,4,2,Wednesday,50
1996-12-12,1996,12,December,4,3,Thursday,50
1996-12-13,1996,12,December,4,4,Friday,50
1996-12-16,1996,12,December,4,0,Monday,51
1996-12-17,1996,12,December,4,1,Tuesday,51
1996-12-18,1996,12,December,4,2,Wednesday,51
1996-12-19,1996,12,December,4,3,Thursday,51
1996-12-20,1996,12,December,4,4,Friday,51
1996-12-23,1996,12,December,4,0,Monday,52
1996-12-24,1996,12,December,4,1,Tuesday,52
1996-12-25,1996,12,December,4,2,Wednesday,52
1996-12-26,1996,12,December,4,3,Thursday,52
1996-12-27,1996,12,December,4,4,Friday,52
1996-12-30,1996,12,December,4,0,Monday,1
1996-12-31,1996,12,December,4,1,Tuesday,1
1997-01-01,1997,1,January,1,2,Wednesday,1
1997-01-02,1997,1,January,1,3,Thursday,1
1997-01-03,1997,1,January,1,4,Friday,1
1997-01-06,1997,1,January,1,0,Monday,2
1997-01-07,1997,1,January,1,1,Tuesday,2
1997-01-08,1997,1,January,1,2,Wednesday,2
1997-01-09,1997,1,January,1,3,Thursday,2
1997-01-10,1997,1,January,1,4,Friday,2
1997-01-13,1997,1,January,1,0,Monday,3
1997-01-14,1997,1,January,1,1,Tuesday,3
1997-01-15,1997,1,January,1,2,Wednesday,3
1997-01-16,1997,1,January,1,3,Thursday,3
1997-01-17,1997,1,January,1,4,Friday,3
1997-01-20,1997,1,January,1,0,Monday,4
1997-01-21,1997,1,January,1,1,Tuesday,4
1997-01-22,1997,1,January,1,2,Wednesday,4
1997-01-23,1997,1,January,1,3,Thursday,4
1997-01-24,1997,1,January,1,4,Friday,4
1997-01-27,1997,1,January,1,0,Monday,5
1997-01-28,1997,1,January,1,1,Tuesday,5
1997-01-29,1997,1,January,1,2,Wednesday,5
1997-01-30,1997,1,January,1,3,Thursday,5
1997-01-31,1997,1,January,1,4,Friday,5
1997-02-03,1997,2,February,1,0,Monday,6
1997-02-04,1997,2,February,1,1,Tuesday,6
1997-02-05,1997,2,February,1,2,Wednesday,6
1997-02-06,1997,2,February,1,3,Thursday,6
1997-02-07,1997,2,February,1,4,Friday,6
1997-02-10,1997,2,February,1,0,Monday,7
1997-02-11,1997,2,February,1,1,Tuesday,7
1997-02-12,1997,2,February,1,2,Wednesday,7
1997-02-13,1997,2,February,1,3,Thursday,7
1997-02-14,1997,2,February,1,4,Friday,7
1997-02-17,1997,2,February,1,0,Monday,8
1997-02-18,1997,2,February,1,1,Tuesday,8
1997-02-19,1997,2,February,1,2,Wednesday,8
1997-02-20,1997,2,February,1,3,Thursday,8
1997-02-21,1997,2,February,1,4,Friday,8
1997-02-24,1997,2,February,1,0,Monday,9
1997-02-25,1997,2,February,1,1,Tuesday,9
1997-02-26,1997,2,February,1,2,Wednesday,9
1997-02-27,1997,2,February,1,3,Thursday,9
1997-02-28,1997,2,February,1,4,Friday,9
1997-03-03,1997,3,March,1,0,Monday,10
1997-03-04,1997,3,March,1,1,Tuesday,10
1997-03-05,1997,3,March,1,2,Wednesday,10
1997-03-06,1997,3,March,1,3,Thursday,10
1997-03-07,1997,3,March,1,4,Friday,10
1997-03-10,1997,3,March,1,0,Monday,11
1997-03-11,1997,3,March,1,1,Tuesday,11
1997-03-12,1997,3,March,1,2,Wednesday,11
1997-03-13,1997,3,March,1,3,Thursday,11
1997-03-14,1997,3,March,1,4,Friday,11
1997-03-17,1997,3,March,1,0,Monday,12
1997-03-18,1997,3,March,1,1,Tuesday,12
1997-03-19,1997,3,March,1,2,Wednesday,12
1997-03-20,1997,3,March,1,3,Thursday,12
1997-03-21,1997,3,March,1,4,Friday,12
1997-03-24,1997,3,March,1,0,Monday,13
1997-03-25,1997,3,March,1,1,Tuesday,13
1997-03-26,1997,3,March,1,2,Wednesday,13
1997-03-27,1997,3,March,1,3,Thursday,13
1997-03-28,1997,3,March,1,4,Friday,13
1997-03-31,1997,3,March,1,0,Monday,14
1997-04-01,1997,4,April,2,1,Tuesday,14
1997-04-02,1997,4,April,2,2,Wednesday,14
1997-04-03,1997,4,April,2,3,Thursday,14
1997-04-04,1997,4,April,2,4,Friday,14
1997-04-07,1997,4,April,2,0,Monday,15
1997-04-08,1997,4,April,2,1,Tuesday,15
1997-04-09,1997,4,April,2,2,Wednesday,15
1997-04-10,1997,4,April,2,3,Thursday,15
1997-04-11,1997,4,April,2,4,Friday,15
1997-04-14,1997,4,April,2,0,Monday,16
1997-04-15,1997,4,April,2,1,Tuesday,16
1997-04-16,1997,4,April,2,2,Wednesday,16
1997-04-17,1997,4,April,2,3,Thursday,16
1997-04-18,1997,4,April,2,4,Friday,16
1997-04-21,1997,4,April,2,0,Monday,17
1997-04-22,1997,4,April,2,1,Tuesday,17
1997-04-23,1997,4,April,2,2,Wednesday,17
1997-04-24,1997,4,April,2,3,Thursday,17
1997-04-25,1997,4,April,2,4,Friday,17
1997-04-28,1997,4,April,2,0,Monday,18
1997-04-29,1997,4,April,2,1,Tuesday,18
1997-04-30,1997,4,April,2,2,Wednesday,18
1997-05-01,1997,5,May,2,3,Thursday,18
1997-05-02,1997,5,May,2,4,Friday,18
1997-05-05,1997,5,May,2,0,Monday,19
1997-05-06,1997,5,May,2,1,Tuesday,19
1997-05-07,1997,5,May,2,2,Wednesday,19
1997-05-08,1997,5,May,2,3,Thursday,19
1997-05-09,1997,5,May,2,4,Friday,19
1997-05-12,1997,5,May,2,0,Monday,20
1997-05-13,1997,5,May,2,1,Tuesday,20
1997-05-14,1997,5,May,2,2,Wednesday,20
1997-05-15,1997,5,May,2,3,Thursday,20
1997-05-16,1997,5,May,2,4,Friday,20
1997-05-19,1997,5,May,2,0,Monday,21
1997-05-20,1997,5,May,2,1,Tuesday,21
1997-05-21,1997,5,May,2,2,Wednesday,21
1997-05-22,1997,5,May,2,3,Thursday,21
1997-05-23,1997,5,May,2,4,Friday,21
1997-05-26,1997,5,May,2,0,Monday,22
1997-05-27,1997,5,May,2,1,Tuesday,22
1997-05-28,1997,5,May,2,2,Wednesday,22
1997-05-29,1997,5,May,2,3,Thursday,22
1997-05-30,1997,5,May,2,4,Friday,22
1997-06-02,1997,6,June,2,0,Monday,23
1997-06-03,1997,6,June,2,1,Tuesday,23
1997-06-04,1997,6,June,2,2,Wednesday,23
1997-06-05,1997,6,June,2,3,Thursday,23
1997-06-06,1997,6,June,2,4,Friday,23
1997-06-09,1997,6,June,2,0,Monday,24
1997-06-10,1997,6,June,2,1,Tuesday,24
1997-06-11,1997,6,June,2,2,Wednesday,24
1997-06-12,1997,6,June,2,3,Thursday,24
1997-06-13,1997,6,June,2,4,Friday,24
1997-06-16,1997,6,June,2,0,Monday,25
1997-06-17,1997,6,June,2,1,Tuesday,25
1997-06-18,1997,6,June,2,2,Wednesday,25
1997-06-19,1997,6,June,2,3,Thursday,25
1997-06-20,1997,6,June,2,4,Friday,25
1997-06-23,1997,6,June,2,0,Monday,26
1997-06-24,1997,6,June,2,1,Tuesday,26
1997-06-25,1997,6,June,2,2,Wednesday,26
1997-06-26,1997,6,June,2,3,Thursday,26
1997-06-27,1997,6,June,2,4,Friday,26
1997-06-30,1997,6,June,2,0,Monday,27
1997-07-01,1997,7,July,3,1,Tuesday,27
1997-07-02,1997,7,July,3,2,Wednesday,27
1997-07-03,1997,7,July,3,3,Thursday,27
1997-07-04,1997,7,July,3,4,Friday,27
1997-07-07,1997,7,July,3,0,Monday,28
1997-07-08,1997,7,July,3,1,Tuesday,28
1997-07-09,1997,7,July,3,2,Wednesday,28
1997-07-10,1997,7,July,3,3,Thursday,28
1997-07-11,1997,7,July,3,4,Friday,28
1997-07-14,1997,7,July,3,0,Monday,29
1997-07-15,1997,7,July,3,1,Tuesday,29
1997-07-16,1997,7,July,3,2,Wednesday,29
1997-07-17,1997,7,July,3,3,Thursday,29
1997-07-18,1997,7,July,3,4,Friday,29
1997-07-21,1997,7,July,3,0,Monday,30
1997-07-22,1997,7,July,3,1,Tuesday,30
1997-07-23,1997,7,July,3,2,Wednesday,30
1997-07-24,1997,7,July,3,3,Thursday,30
1997-07-25,1997,7,July,3,4,Friday,30
1997-07-28,1997,7,July,3,0,Monday,31
1997-07-29,1997,7,July,3,1,Tuesday,31
1997-07-30,1997,7,July,3,2,Wednesday,31
1997-07-31,1997,7,July,3,3,Thursday,31
1997-08-01,1997,8,August,3,4,Friday,31
1997-08-04,1997,8,August,3,0,Monday,32
1997-08-05,1997,8,August,3,1,Tuesday,32
1997-08-06,1997,8,August,3,2,Wednesday,32
1997-08-07,1997,8,August,3,3,Thursday,32
1997-08-08,1997,8,August,3,4,Friday,32
1997-08-11,1997,8,August,3,0,Monday,33
1997-08-12,1997,8,August,3,1,Tuesday,33
1997-08-13,1997,8,August,3,2,Wednesday,33
1997-08-14,1997,8,August,3,3,Thursday,33
1997-08-15,1997,8,August,3,4,Friday,33
1997-08-18,1997,8,August,3,0,Monday,34
1997-08-19,1997,8,August,3,1,Tuesday,34
1997-08-20,1997,8,August,3,2,Wednesday,34
1997-08-21,1997,8,August,3,3,Thursday,34
1997-08-22,1997,8,August,3,4,Friday,34
1997-08-25,1997,8,August,3,0,Monday,35
1997-08-26,1997,8,August,3,1,Tuesday,35
1997-08-27,1997,8,August,3,2,Wednesday,35
1997-08-28,1997,8,August,3,3,Thursday,35
1997-08-29,1997,8,August,3,4,Friday,35
1997-09-01,1997,9,September,3,0,Monday,36
1997-09-02,1997,9,September,3,1,Tuesday,36
1997-09-03,1997,9,September,3,2,Wednesday,36
1997-09-04,1997,9,September,3,3,Thursday,36
1997-09-05,1997,9,September,3,4,Friday,36
1997-09-08,1997,9,September,3,0,Monday,37
1997-09-09,1997,9,September,3,1,Tuesday,37
1997-09-10,1997,9,September,3,2,Wednesday,37
1997-09-11,1997,9,September,3,3,Thursday,37
1997-09-12,1997,9,September,3,4,Friday,37
1997-09-15,1997,9,September,3,0,Monday,38
1997-09-16,1997,9,September,3,1,Tuesday,38
1997-09-17,1997,9,September,3,2,Wednesday,38
1997-09-18,1997,9,September,3,3,Thursday,38
1997-09-19,1997,9,September,3,4,Friday,38
1997-09-22,1997,9,September,3,0,Monday,39
1997-09-23,1997,9,September,3,1,Tuesday,39
1997-09-24,1997,9,September,3,2,Wednesday,39
1997-09-25,1997,9,September,3,3,Thursday,39
1997-09-26,1997,9,September,3,4,Friday,39
1997-09-29,1997,9,September,3,0,Monday,40
1997-09-30,1997,9,September,3,1,Tuesday,40
1997-10-01,1997,10,October,4,2,Wednesday,40
1997-10-02,1997,10,October,4,3,Thursday,40
1997-10-03,1997,10,October,4,4,Friday,40
1997-10-06,1997,10,October,4,0,Monday,41
1997-10-07,1997,10,October,4,1,Tuesday,41
1997-10-08,1997,10,October,4,2,Wednesday,41
1997-10-09,1997,10,October,4,3,Thursday,41
1997-10-10,1997,10,October,4,4,Friday,41
1997-10-13,1997,10,October,4,0,Monday,42
1997-10-14,1997,10,October,4,1,Tuesday,42
1997-10-15,1997,10,October,4,2,Wednesday,42
1997-10-16,1997,10,October,4,3,Thursday,42
1997-10-17,1997,10,October,4,4,Friday,42
1997-10-20,1997,10,October,4,0,Monday,43
1997-10-21,1997,10,October,4,1,Tuesday,43
1997-10-22,1997,10,October,4,2,Wednesday,43
1997-10-23,1997,10,October,4,3,Thursday,43
1997-10-24,1997,10,October,4,4,Friday,43
1997-10-27,1997,10,October,4,0,Monday,44
1997-10-28,1997,10,October,4,1,Tuesday,44
1997-10-29,1997,10,October,4,2,Wednesday,44
1997-10-30,1997,10,October,4,3,Thursday,44
1997-10-31,1997,10,October,4,4,Friday,44
1997-11-03,1997,11,November,4,0,Monday,45
1997-11-04,1997,11,November,4,1,Tuesday,45
1997-11-05,1997,11,November,4,2,Wednesday,45
1997-11-06,1997,11,November,4,3,Thursday,45
1997-11-07,1997,11,November,4,4,Friday,45
1997-11-10,1997,11,November,4,0,Monday,46
1997-11-11,1997,11,November,4,1,Tuesday,46
1997-11-12,1997,11,November,4,2,Wednesday,46
1997-11-13,1997,11,November,4,3,Thursday,46
1997-11-14,1997,11,November,4,4,Friday,46
1997-11-17,1997,11,November,4,0,Monday,47
1997-11-18,1997,11,November,4,1,Tuesday,47
1997-11-19,1997,11,November,4,2,Wednesday,47
1997-11-20,1997,11,November,4,3,Thursday,47
1997-11-21,1997,11,November,4,4,Friday,47
1997-11-24,1997,11,November,4,0,Monday,48
1997-11-25,1997,11,November,4,1,Tuesday,48
1997-11-26,1997,11,November,4,2,Wednesday,48
1997-11-27,1997,11,November,4,3,Thursday,48
1997-11-28,1997,11,November,4,4,Friday,48
1997-12-01,1997,12,December,4,0,Monday,49
1997-12-02,1997,12,December,4,1,Tuesday,49
1997-12-03,1997,12,December,4,2,Wednesday,49
1997-12-04,1997,12,December,4,3,Thursday,49
1997-12-05,1997,12,December,4,4,Friday,49
1997-12-08,1997,12,December,4,0,Monday,50
1997-12-09,1997,12,December,4,1,Tuesday,50
1997-12-10,1997,12,December,4,2,Wednesday,50
1997-12-11,1997,12,December,4,3,Thursday,50
1997-12-12,1997,12,December,4,4,Friday,50
1997-12-15,1997,12,December,4,0,Monday,51
1997-12-16,1997,12,December,4,1,Tuesday,51
1997-12-17,1997,12,December,4,2,Wednesday,51
1997-12-18,1997,12,December,4,3,Thursday,51
1997-12-19,1997,12,December,4,4,Friday,51
1997-12-22,1997,12,December,4,0,Monday,52
1997-12-23,1997,12,December,4,1,Tuesday,52
1997-12-24,1997,12,December,4,2,Wednesday,52
1997-12-25,1997,12,December,4,3,Thursday,52
1997-12-26,1997,12,December,4,4,Friday,52
1997-12-29,1997,12,December,4,0,Monday,1
1997-12-30,1997,12,December,4,1,Tuesday,1
1997-12-31,1997,12,December,4,2,Wednesday,1
1998-01-01,1998,1,January,1,3,Thursday,1
1998-01-02,1998,1,January,1,4,Friday,1
1998-01-05,1998,1,January,1,0,Monday,2
1998-01-06,1998,1,January,1,1,Tuesday,2
1998-01-07,1998,1,January,1,2,Wednesday,2
1998-01-08,1998,1,January,1,3,Thursday,2
1998-01-09,1998,1,January,1,4,Friday,2
1998-01-12,1998,1,January,1,0,Monday,3
1998-01-13,1998,1,January,1,1,Tuesday,3
1998-01-14,1998,1,January,1,2,Wednesday,3
1998-01-15,1998,1,January,1,3,Thursday,3
1998-01-16,1998,1,January,1,4,Friday,3
1998-01-19,1998,1,January,1,0,Monday,4
1998-01-20,1998,1,January,1,1,Tuesday,4
1998-01-21,1998,1,January,1,2,Wednesday,4
1998-01-22,1998,1,January,1,3,Thursday,4
1998-01-23,1998,1,January,1,4,Friday,4
1998-01-26,1998,1,January,1,0,Monday,5
1998-01-27,1998,1,January,1,1,Tuesday,5
1998-01-28,1998,1,January,1,2,Wednesday,5
1998-01-29,1998,1,January,1,3,Thursday,5
1998-01-30,1998,1,January,1,4,Friday,5
1998-02-02,1998,2,February,1,0,Monday,6
1998-02-03,1998,2,February,1,1,Tuesday,6
1998-02-04,1998,2,February,1,2,Wednesday,6
1998-02-05,1998,2,February,1,3,Thursday,6
1998-02-06,1998,2,February,1,4,Friday,6
1998-02-09,1998,2,February,1,0,Monday,7
1998-02-10,1998,2,February,1,1,Tuesday,7
1998-02-11,1998,2,February,1,2,Wednesday,7
1998-02-12,1998,2,February,1,3,Thursday,7
1998-02-13,1998,2,February,1,4,Friday,7
1998-02-16,1998,2,February,1,0,Monday,8
1998-02-17,1998,2,February,1,1,Tuesday,8
1998-02-18,1998,2,February,1,2,Wednesday,8
1998-02-19,1998,2,February,1,3,Thursday,8
1998-02-20,1998,2,February,1,4,Friday,8
1998-02-23,1998,2,February,1,0,Monday,9
1998-02-24,1998,2,February,1,1,Tuesday,9
1998-02-25,1998,2,February,1,2,Wednesday,9
1998-02-26,1998,2,February,1,3,Thursday,9
1998-02-27,1998,2,February,1,4,Friday,9
1998-03-02,1998,3,March,1,0,Monday,10
1998-03-03,1998,3,March,1,1,Tuesday,10
1998-03-04,1998,3,March,1,2,Wednesday,10
1998-03-05,1998,3,March,1,3,Thursday,10
1998-03-06,1998,3,March,1,4,Friday,10
1998-03-09,1998,3,March,1,0,Monday,11
1998-03-10,1998,3,March,1,1,Tuesday,11
1998-03-11,1998,3,March,1,2,Wednesday,11
1998-03-12,1998,3,March,1,3,Thursday,11
1998-03-13,1998,3,March,1,4,Friday,11
1998-03-16,1998,3,March,1,0,Monday,12
1998-03-17,1998,3,March,1,1,Tuesday,12
1998-03-18,1998,3,March,1,2,Wednesday,12
1998-03-19,1998,3,March,1,3,Thursday,12
1998-03-20,1998,3,March,1,4,Friday,12
1998-03-23,1998,3,March,1,0,Monday,13
1998-03-24,1998,3,March,1,1,Tuesday,13
1998-03-25,1998,3,March,1,2,Wednesday,13
1998-03-26,1998,3,March,1,3,Thursday,13
1998-03-27,1998,3,March,1,4,Friday,13
1998-03-30,1998,3,March,1,0,Monday,14
1998-03-31,1998,3,March,1,1,Tuesday,14
1998-04-01,1998,4,April,2,2,Wednesday,14
1998-04-02,1998,4,April,2,3,Thursday,14
1998-04-03,1998,4,April,2,4,Friday,14
1998-04-06,1998,4,April,2,0,Monday,15
1998-04-07,1998,4,April,2,1,Tuesday,15
1998-04-08,1998,4,April,2,2,Wednesday,15
1998-04-09,1998,4,April,2,3,Thursday,15
1998-04-10,1998,4,April,2,4,Friday,15
1998-04-13,1998,4,April,2,0,Monday,16
1998-04-14,1998,4,April,2,1,Tuesday,16
1998-04-15,1998,4,April,2,2,Wednesday,16
1998-04-16,1998,4,April,2,3,Thursday,16
1998-04-17,1998,4,April,2,4,Friday,16
1998-04-20,1998,4,April,2,0,Monday,17
1998-04-21,1998,4,April,2,1,Tuesday,17
1998-04-22,1998,4,April,2,2,Wednesday,17
1998-04-23,1998,4,April,2,3,Thursday,17
1998-04-24,1998,4,April,2,4,Friday,17
1998-04-27,1998,4,April,2,0,Monday,18
1998-04-28,1998,4,April,2,1,Tuesday,18
1998-04-29,1998,4,April,2,2,Wednesday,18
1998-04-30,1998,4,April,2,3,Thursday,18
1998-05-01,1998,5,May,2,4,Friday,18
1998-05-04,1998,5,May,2,0,Monday,19
1998-05-05,1998,5,May,2,1,Tuesday,19
1998-05-06,1998,5,May,2,2,Wednesday,19
